id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
444,SHSE.600000,1d,9.8004,10.2516,9.7839,10.1636,148206210,2733449298.0,9.8499,2015-11-20 00:00:00+08:00,2015-11-20 00:00:00+08:00,0
445,SHSE.600000,1d,10.1856,10.5268,10.1471,10.4883,171203791,3235638652.0,10.1636,2015-11-23 00:00:00+08:00,2015-11-23 00:00:00+08:00,0
446,SHSE.600000,1d,10.4002,10.5213,10.2296,10.4828,129389144,2437634483.0,10.4883,2015-11-24 00:00:00+08:00,2015-11-24 00:00:00+08:00,0
447,SHSE.600000,1d,10.4002,10.8294,10.1471,10.8239,326524776,6295983533.0,10.4828,2015-11-25 00:00:00+08:00,2015-11-25 00:00:00+08:00,0
448,SHSE.600000,1d,10.7304,10.8404,10.5653,10.6589,214944239,4187889901.0,10.8239,2015-11-26 00:00:00+08:00,2015-11-26 00:00:00+08:00,0
449,SHSE.600000,1d,10.5433,10.6864,10.1251,10.1966,105608733,1999981226.0,10.6589,2015-11-27 00:00:00+08:00,2015-11-27 00:00:00+08:00,0
450,SHSE.600000,1d,10.1471,10.3507,9.6849,10.2627,97633827,1779188257.0,10.1966,2015-11-30 00:00:00+08:00,2015-11-30 00:00:00+08:00,0
451,SHSE.600000,1d,10.0976,10.4552,9.949,10.2682,63430576,1179526363.0,10.2627,2015-12-01 00:00:00+08:00,2015-12-01 00:00:00+08:00,0
452,SHSE.600000,1d,10.1856,11.0055,10.1691,10.923,153608076,2972238980.0,10.2682,2015-12-02 00:00:00+08:00,2015-12-02 00:00:00+08:00,0
453,SHSE.600000,1d,10.8404,10.879,10.5763,10.5928,110346329,2147606954.0,10.923,2015-12-03 00:00:00+08:00,2015-12-03 00:00:00+08:00,0
454,SHSE.600000,1d,10.6038,10.6038,10.2847,10.2957,70275848,1331588236.0,10.5928,2015-12-04 00:00:00+08:00,2015-12-04 00:00:00+08:00,0
455,SHSE.600000,1d,10.2957,10.7304,10.2957,10.7029,83346816,1592198369.0,10.2957,2015-12-07 00:00:00+08:00,2015-12-07 00:00:00+08:00,0
456,SHSE.600000,1d,10.6093,11.0716,10.3507,11.0606,239884949,4764109259.0,10.7029,2015-12-08 00:00:00+08:00,2015-12-08 00:00:00+08:00,0
457,SHSE.600000,1d,10.7744,10.7744,10.5158,10.5818,92049465,1776578423.0,11.0606,2015-12-09 00:00:00+08:00,2015-12-09 00:00:00+08:00,0
458,SHSE.600000,1d,10.6423,10.9395,10.5158,10.6038,57091310,1108934588.0,10.5818,2015-12-10 00:00:00+08:00,2015-12-10 00:00:00+08:00,0
459,SHSE.600000,1d,10.4608,10.5763,10.1416,10.2351,87066826,1630390309.0,10.6038,2015-12-11 00:00:00+08:00,2015-12-11 00:00:00+08:00,0
460,SHSE.600000,1d,10.0756,10.2516,9.9215,10.1526,70736958,1290712912.0,10.2351,2015-12-14 00:00:00+08:00,2015-12-14 00:00:00+08:00,0
461,SHSE.600000,1d,10.1471,10.3562,9.9985,10.0756,51685772,950672911.0,10.1526,2015-12-15 00:00:00+08:00,2015-12-15 00:00:00+08:00,0
462,SHSE.600000,1d,10.1031,10.1526,9.9655,10.004,38700640,705621171.0,10.0756,2015-12-16 00:00:00+08:00,2015-12-16 00:00:00+08:00,0
463,SHSE.600000,1d,10.048,10.2406,10.015,10.1746,53304071,983362559.0,10.004,2015-12-17 00:00:00+08:00,2015-12-17 00:00:00+08:00,0
464,SHSE.600000,1d,10.1746,10.8955,10.1416,10.3507,92211924,1753311888.0,10.1746,2015-12-18 00:00:00+08:00,2015-12-18 00:00:00+08:00,0
465,SHSE.600000,1d,10.3397,10.6754,10.2021,10.5323,82490082,1567681249.0,10.3507,2015-12-21 00:00:00+08:00,2015-12-21 00:00:00+08:00,0
466,SHSE.600000,1d,10.4608,10.6148,10.3287,10.4002,53122744,1006796481.0,10.5323,2015-12-22 00:00:00+08:00,2015-12-22 00:00:00+08:00,0
467,SHSE.600000,1d,10.4057,10.5268,10.2406,10.3892,66128171,1249610550.0,10.4002,2015-12-23 00:00:00+08:00,2015-12-23 00:00:00+08:00,0
468,SHSE.600000,1d,10.3727,10.5323,10.2737,10.4773,57171554,1083459057.0,10.3892,2015-12-24 00:00:00+08:00,2015-12-24 00:00:00+08:00,0
469,SHSE.600000,1d,10.4663,10.7194,10.4167,10.6313,55427897,1069153871.0,10.4773,2015-12-25 00:00:00+08:00,2015-12-25 00:00:00+08:00,0
470,SHSE.600000,1d,10.6589,10.6919,10.2461,10.2902,49980698,945164680.0,10.6313,2015-12-28 00:00:00+08:00,2015-12-28 00:00:00+08:00,0
471,SHSE.600000,1d,10.2516,10.4112,10.1196,10.3122,47288465,883333858.0,10.2902,2015-12-29 00:00:00+08:00,2015-12-29 00:00:00+08:00,0
472,SHSE.600000,1d,10.2957,10.3342,10.0756,10.2186,35687385,660326971.0,10.3122,2015-12-30 00:00:00+08:00,2015-12-30 00:00:00+08:00,0
473,SHSE.600000,1d,10.1911,10.1911,10.048,10.0535,27936138,513758894.0,10.2186,2015-12-31 00:00:00+08:00,2015-12-31 00:00:00+08:00,0
474,SHSE.600000,1d,10.059,10.059,9.6573,9.7949,42240610,754425783.0,10.0535,2016-01-04 00:00:00+08:00,2016-01-04 00:00:00+08:00,0
475,SHSE.600000,1d,9.6353,9.938,9.5748,9.883,58054793,1034181474.0,9.7949,2016-01-05 00:00:00+08:00,2016-01-05 00:00:00+08:00,0
476,SHSE.600000,1d,9.8499,9.982,9.7344,9.96,46772653,838667398.0,9.883,2016-01-06 00:00:00+08:00,2016-01-06 00:00:00+08:00,0
477,SHSE.600000,1d,9.7949,9.8499,9.5748,9.6353,11350479,199502702.0,9.96,2016-01-07 00:00:00+08:00,2016-01-07 00:00:00+08:00,0
478,SHSE.600000,1d,9.7619,9.8389,9.3052,9.6243,71918296,1262105060.0,9.6353,2016-01-08 00:00:00+08:00,2016-01-08 00:00:00+08:00,0
479,SHSE.600000,1d,9.4703,9.6023,9.3327,9.3822,90177135,1550155933.0,9.6243,2016-01-11 00:00:00+08:00,2016-01-11 00:00:00+08:00,0
480,SHSE.600000,1d,9.4482,9.6408,9.3987,9.6023,55374454,964061502.0,9.3822,2016-01-12 00:00:00+08:00,2016-01-12 00:00:00+08:00,0
